year	type	base	FMY
2019	natural	legumes	0.4
2019	natural	legumes	0.07
2019	natural	legumes	0.03
2019	natural	legumes	0.14
2019	natural	legumes	0.4
2019	natural	legumes	0.595
2019	natural	legumes	0.25
2019	natural	legumes	0.1
2019	natural	legumes	0.13
2019	natural	legumes	0.39
2019	natural	legumes	0.15
2019	natural	legumes	0.69
2019	natural	legumes	0.2
2019	natural	legumes	0.46
2019	natural	legumes	1.61
2019	natural	legumes	0.64
2019	natural	legumes	0.614
2019	natural	legumes	0.756
2019	natural	legumes	0.79
2019	natural	legumes	0.615
2019	natural	legumes	0.66
2019	natural	legumes	0.603
2019	natural	legumes	0.608
2019	natural	legumes	0.121
2019	natural	legumes	0.732
2019	natural	legumes	0.7426
2019	cultivated	legumes	0.65
2019	cultivated	legumes	0.6
2019	cultivated	legumes	1.15
2019	cultivated	legumes	1
2019	cultivated	legumes	0.28
2019	cultivated	legumes	0.34
2019	cultivated	legumes	0.94
2019	cultivated	legumes	0.89
2019	cultivated	legumes	0.95
2019	cultivated	legumes	1.15
2019	cultivated	legumes	0.155
2019	cultivated	legumes	0.16
2019	cultivated	legumes	0.51
2019	cultivated	legumes	0.7
2019	cultivated	legumes	0.5
2019	cultivated	legumes	1.045
2019	cultivated	legumes	1.171
2019	cultivated	legumes	2.741
2019	cultivated	legumes	1.111
2019	cultivated	legumes	1.253
2019	cultivated	legumes	3.024
2019	cultivated	legumes	2.247
2019	cultivated	legumes	1.025
2019	cultivated	legumes	1.024
2019	cultivated	legumes	1.023
2019	cultivated	legumes	1.0245
2019	natural	grasses	0.06
2019	natural	grasses	0.06
2019	natural	grasses	0.04
2019	natural	grasses	0.06
2019	natural	grasses	0.1
2019	natural	grasses	0.11
2019	natural	grasses	0.035
2019	natural	grasses	0
2019	natural	grasses	0
2019	natural	grasses	0.01
2019	natural	grasses	0.05
2019	natural	grasses	0.08
2019	natural	grasses	0.03
2019	natural	grasses	0.05
2019	natural	grasses	0.04
2019	natural	grasses	0.08
2019	natural	grasses	0.41
2019	natural	grasses	0
2019	natural	grasses	0.456
2019	natural	grasses	0.585
2019	natural	grasses	0
2019	natural	grasses	0.07
2019	natural	grasses	0.152
2019	natural	grasses	0.067
2019	natural	grasses	0.144
2019	natural	grasses	0.21123
2019	cultivated	grasses	0.65
2019	cultivated	grasses	0.9
2019	cultivated	grasses	0.5
2019	cultivated	grasses	0.8
2019	cultivated	grasses	0.07
2019	cultivated	grasses	0.05
2019	cultivated	grasses	0.65
2019	cultivated	grasses	1
2019	cultivated	grasses	0.3
2019	cultivated	grasses	1.4
2019	cultivated	grasses	0.075
2019	cultivated	grasses	0.05
2019	cultivated	grasses	0.3
2019	cultivated	grasses	0.85
2019	cultivated	grasses	0.7
2019	cultivated	grasses	0.955
2019	cultivated	grasses	0.722
2019	cultivated	grasses	1.985
2019	cultivated	grasses	0.864
2019	cultivated	grasses	1.002
2019	cultivated	grasses	1.08
2019	cultivated	grasses	1.645
2019	cultivated	grasses	0.7523
2019	cultivated	grasses	0.75
2019	cultivated	grasses	0.754
2019	cultivated	grasses	0.7521
2019	natural	herbs	0.19
2019	natural	herbs	0.18
2019	natural	herbs	0.34
2019	natural	herbs	0.25
2019	natural	herbs	0.225
2019	natural	herbs	0.055
2019	natural	herbs	0.205
2019	natural	herbs	0.3
2019	natural	herbs	0.19
2019	natural	herbs	0.2
2019	natural	herbs	0.4
2019	natural	herbs	0.43
2019	natural	herbs	0.24
2019	natural	herbs	0.24
2019	natural	herbs	0.25
2019	natural	herbs	0.25
2019	natural	herbs	0.256
2019	natural	herbs	0.444
2019	natural	herbs	0.274
2019	natural	herbs	0.3
2019	natural	herbs	0.44
2019	natural	herbs	0.487
2019	natural	herbs	0.76
2019	natural	herbs	0.482
2019	natural	herbs	0.324
2019	natural	herbs	0.37983
2019	cultivated	herbs	0.05
2019	cultivated	herbs	0
2019	cultivated	herbs	0
2019	cultivated	herbs	0
2019	cultivated	herbs	0
2019	cultivated	herbs	0
2019	cultivated	herbs	0
2019	cultivated	herbs	0.1
2019	cultivated	herbs	0
2019	cultivated	herbs	0
2019	cultivated	herbs	0
2019	cultivated	herbs	0
2019	cultivated	herbs	0
2019	cultivated	herbs	0
2019	cultivated	herbs	0
2019	cultivated	herbs	0
2019	cultivated	herbs	0.059
2019	cultivated	herbs	0
2019	cultivated	herbs	0
2019	cultivated	herbs	0.25
2019	cultivated	herbs	0.216
2019	cultivated	herbs	0.12
2019	cultivated	herbs	0
2019	cultivated	herbs	0
2019	cultivated	herbs	0
2019	cultivated	herbs	0
2019	natural	sedges	0.06
2019	natural	sedges	0
2019	natural	sedges	0
2019	natural	sedges	0
2019	natural	sedges	0.035
2019	natural	sedges	0.81
2019	natural	sedges	0.03
2019	natural	sedges	0
2019	natural	sedges	0
2019	natural	sedges	0
2019	natural	sedges	0
2019	natural	sedges	0.1
2019	natural	sedges	0.02
2019	natural	sedges	0
2019	natural	sedges	0.05
2019	natural	sedges	0.03
2019	natural	sedges	0
2019	natural	sedges	0
2019	natural	sedges	0
2019	natural	sedges	0
2019	natural	sedges	0
2019	natural	sedges	0
2019	natural	sedges	0
2019	natural	sedges	0
2019	natural	sedges	0
2019	natural	sedges	0
2020	natural	legumes	0.07
2020	natural	legumes	0.06
2020	natural	legumes	0.04
2020	natural	legumes	0.04
2020	natural	legumes	0.08
2020	natural	legumes	0.12
2020	natural	legumes	0.04
2020	natural	legumes	0
2020	natural	legumes	0
2020	natural	legumes	0.01
2020	natural	legumes	0.04
2020	natural	legumes	0.07
2020	natural	legumes	0.04
2020	natural	legumes	0.06
2020	natural	legumes	0.03
2020	natural	legumes	0.09
2020	natural	legumes	0.18
2020	natural	legumes	0.14
2020	natural	legumes	0.12
2020	natural	legumes	0.22
2020	natural	legumes	0.18
2020	natural	legumes	0.2
2020	natural	legumes	0.02
2020	natural	legumes	0.34
2020	natural	legumes	0.18
2020	natural	legumes	0.45
2020	cultivated	legumes	0.62
2020	cultivated	legumes	0.85
2020	cultivated	legumes	0.52
2020	cultivated	legumes	0.7
2020	cultivated	legumes	0.06
2020	cultivated	legumes	0.03
2020	cultivated	legumes	0.63
2020	cultivated	legumes	0.95
2020	cultivated	legumes	0.24
2020	cultivated	legumes	1.27
2020	cultivated	legumes	0.06
2020	cultivated	legumes	0.02
2020	cultivated	legumes	0.14
2020	cultivated	legumes	0.64
2020	cultivated	legumes	0.48
2020	cultivated	legumes	0.34
2020	cultivated	legumes	0.36
2020	cultivated	legumes	0.56
2020	cultivated	legumes	0.32
2020	cultivated	legumes	0.56
2020	cultivated	legumes	0.28
2020	cultivated	legumes	0.64
2020	cultivated	legumes	0.56
2020	cultivated	legumes	0.7
2020	cultivated	legumes	0.6
2020	cultivated	legumes	0.39
2020	natural	grasses	0.42
2020	natural	grasses	0.11
2020	natural	grasses	0.04
2020	natural	grasses	0.12
2020	natural	grasses	0.37
2020	natural	grasses	0.59
2020	natural	grasses	0.24
2020	natural	grasses	0.09
2020	natural	grasses	0.19
2020	natural	grasses	0.41
2020	natural	grasses	0.15
2020	natural	grasses	0.7
2020	natural	grasses	0.22
2020	natural	grasses	0.44
2020	natural	grasses	1.72
2020	natural	grasses	0.67
2020	natural	grasses	0.22
2020	natural	grasses	0.06
2020	natural	grasses	0.12
2020	natural	grasses	0.14
2020	natural	grasses	0.16
2020	natural	grasses	0.14
2020	natural	grasses	0.01
2020	natural	grasses	0
2020	natural	grasses	0.4
2020	natural	grasses	0.144
2020	cultivated	grasses	0.61
2020	cultivated	grasses	0.85
2020	cultivated	grasses	0.11
2020	cultivated	grasses	1.08
2020	cultivated	grasses	0.33
2020	cultivated	grasses	0.35
2020	cultivated	grasses	0.95
2020	cultivated	grasses	0.95
2020	cultivated	grasses	1
2020	cultivated	grasses	1.27
2020	cultivated	grasses	0.18
2020	cultivated	grasses	0.18
2020	cultivated	grasses	0.7
2020	cultivated	grasses	0.9
2020	cultivated	grasses	0.96
2020	cultivated	grasses	1.6
2020	cultivated	grasses	0.2
2020	cultivated	grasses	0.24
2020	cultivated	grasses	0.16
2020	cultivated	grasses	0.02
2020	cultivated	grasses	0.32
2020	cultivated	grasses	0.12
2020	cultivated	grasses	0.1
2020	cultivated	grasses	0.18
2020	cultivated	grasses	0.08
2020	cultivated	grasses	0.43
2020	natural	herbs	0.28
2020	natural	herbs	0.16
2020	natural	herbs	0.33
2020	natural	herbs	0.27
2020	natural	herbs	0.4
2020	natural	herbs	0.21
2020	natural	herbs	0.23
2020	natural	herbs	0.3
2020	natural	herbs	0.12
2020	natural	herbs	0.19
2020	natural	herbs	0.31
2020	natural	herbs	0.38
2020	natural	herbs	0.21
2020	natural	herbs	0.23
2020	natural	herbs	0.2
2020	natural	herbs	0.23
2020	natural	herbs	0.74
2020	natural	herbs	0.1
2020	natural	herbs	0.08
2020	natural	herbs	0.08
2020	natural	herbs	0.66
2020	natural	herbs	0.1
2020	natural	herbs	0.06
2020	natural	herbs	0.22
2020	natural	herbs	0.4
2020	natural	herbs	0.32
2020	cultivated	herbs	0.07
2020	cultivated	herbs	0
2020	cultivated	herbs	0
2020	cultivated	herbs	0
2020	cultivated	herbs	0
2020	cultivated	herbs	0
2020	cultivated	herbs	0
2020	cultivated	herbs	0.08
2020	cultivated	herbs	0
2020	cultivated	herbs	0
2020	cultivated	herbs	0
2020	cultivated	herbs	0
2020	cultivated	herbs	0
2020	cultivated	herbs	0
2020	cultivated	herbs	0
2020	cultivated	herbs	0
2020	cultivated	herbs	0.44
2020	cultivated	herbs	1.16
2020	cultivated	herbs	0.4
2020	cultivated	herbs	0.12
2020	cultivated	herbs	0.36
2020	cultivated	herbs	0.4
2020	cultivated	herbs	0.62
2020	cultivated	herbs	0.14
2020	cultivated	herbs	0.64
2020	cultivated	herbs	0.405
2020	natural	sedges	0.06
2020	natural	sedges	0
2020	natural	sedges	0
2020	natural	sedges	0
2020	natural	sedges	0.03
2020	natural	sedges	0.8
2020	natural	sedges	0.03
2020	natural	sedges	0
2020	natural	sedges	0
2020	natural	sedges	0
2020	natural	sedges	0
2020	natural	sedges	0.08
2020	natural	sedges	0.03
2020	natural	sedges	0
2020	natural	sedges	0.05
2020	natural	sedges	0.03
2020	natural	sedges	0
2020	natural	sedges	0
2020	natural	sedges	0
2020	natural	sedges	0
2020	natural	sedges	0
2020	natural	sedges	0
2020	natural	sedges	0
2020	natural	sedges	0
2020	natural	sedges	0
2020	natural	sedges	0